STD_YM,CTPV_CD,CTGG_CD,DAY_CD,INDTY_CGR_NM,CTPV_NM,CTGG_NM,RANK,VST_RAT
201907,11,11560,5,편의점,서울특별시,영등포구,5,4.69
201907,11,11560,5,한식,서울특별시,영등포구,1,45.8
201907,11,11560,6,분식,서울특별시,영등포구,2,27.35
201907,11,11560,6,일식,서울특별시,영등포구,4,6.84
201907,11,11560,6,중식,서울특별시,영등포구,3,23.08
201907,11,11560,6,카페/패스트푸드,서울특별시,영등포구,5,5.98
201907,11,11560,6,한식,서울특별시,영등포구,1,32.48
201907,11,11560,7,분식,서울특별시,영등포구,5,0.43
201907,11,11560,7,중식,서울특별시,영등포구,2,22.98
201907,11,11560,7,카페/패스트푸드,서울특별시,영등포구,3,13.19
201907,11,11560,7,편의점,서울특별시,영등포구,4,2.13
201907,11,11560,7,한식,서울특별시,영등포구,1,61.28
201907,11,11590,1,양식,서울특별시,동작구,4,9.01
201907,11,11590,1,일식,서울특별시,동작구,5,4.51
201907,11,11590,1,카페/패스트푸드,서울특별시,동작구,1,43.1
201907,11,11590,1,편의점,서울특별시,동작구,3,9.86
201907,11,11590,1,한식,서울특별시,동작구,2,29.58
201907,11,11590,2,양식,서울특별시,동작구,4,6.96
201907,11,11590,2,일식,서울특별시,동작구,5,3.34
201907,11,11590,2,카페/패스트푸드,서울특별시,동작구,1,37.88
201907,11,11590,2,편의점,서울특별시,동작구,3,11.42
201907,11,11590,2,한식,서울특별시,동작구,2,35.93
201907,11,11590,3,양식,서울특별시,동작구,4,7.87
201907,11,11590,3,일식,서울특별시,동작구,5,5.34
201907,11,11590,3,카페/패스트푸드,서울특별시,동작구,1,46.35
201907,11,11590,3,편의점,서울특별시,동작구,3,8.71
201907,11,11590,3,한식,서울특별시,동작구,2,24.72
201907,11,11590,4,양식,서울특별시,동작구,5,5.45
201907,11,11590,4,중식,서울특별시,동작구,4,6.91
201907,11,11590,4,카페/패스트푸드,서울특별시,동작구,1,46.18
201907,11,11590,4,편의점,서울특별시,동작구,3,7.27
201907,11,11590,4,한식,서울특별시,동작구,2,28.36
201907,11,11590,5,양식,서울특별시,동작구,5,5.08
201907,11,11590,5,중식,서울특별시,동작구,3,9.49
201907,11,11590,5,카페/패스트푸드,서울특별시,동작구,1,42.37
201907,11,11590,5,편의점,서울특별시,동작구,4,6.78
201907,11,11590,5,한식,서울특별시,동작구,2,32.54
201907,11,11590,6,중식,서울특별시,동작구,2,26.67
201907,11,11590,6,카페/패스트푸드,서울특별시,동작구,1,73.33
201907,11,11590,7,중식,서울특별시,동작구,3,2.17
201907,11,11590,7,카페/패스트푸드,서울특별시,동작구,1,78.26
201907,11,11590,7,한식,서울특별시,동작구,2,19.57
201907,11,11620,1,분식,서울특별시,관악구,3,5.65
201907,11,11620,1,중식,서울특별시,관악구,4,5.65
201907,11,11620,1,카페/패스트푸드,서울특별시,관악구,1,57.63
201907,11,11620,1,한식,서울특별시,관악구,2,31.07
201907,11,11620,2,분식,서울특별시,관악구,4,2.05
201907,11,11620,2,중식,서울특별시,관악구,3,10.27
201907,11,11620,2,카페/패스트푸드,서울특별시,관악구,1,69.18
201907,11,11620,2,한식,서울특별시,관악구,2,18.49
201907,11,11620,3,분식,서울특별시,관악구,4,4.32
201907,11,11620,3,중식,서울특별시,관악구,3,14.81
201907,11,11620,3,카페/패스트푸드,서울특별시,관악구,1,54.32
201907,11,11620,3,한식,서울특별시,관악구,2,26.54
201907,11,11620,4,분식,서울특별시,관악구,4,0.99
201907,11,11620,4,중식,서울특별시,관악구,3,10.89
201907,11,11620,4,카페/패스트푸드,서울특별시,관악구,1,73.27
201907,11,11620,4,한식,서울특별시,관악구,2,14.85
201907,11,11620,5,중식,서울특별시,관악구,3,4.55
201907,11,11620,5,카페/패스트푸드,서울특별시,관악구,1,77.27
201907,11,11620,5,한식,서울특별시,관악구,2,18.18
201907,11,11650,1,분식,서울특별시,서초구,5,10.86
201907,11,11650,1,일식,서울특별시,서초구,2,15.88
201907,11,11650,1,중식,서울특별시,서초구,4,11.18
201907,11,11650,1,카페/패스트푸드,서울특별시,서초구,3,11.83
201907,11,11650,1,한식,서울특별시,서초구,1,47.65
201907,11,11650,2,분식,서울특별시,서초구,5,7.66
201907,11,11650,2,일식,서울특별시,서초구,2,18.62
201907,11,11650,2,중식,서울특별시,서초구,3,16.52
201907,11,11650,2,카페/패스트푸드,서울특별시,서초구,4,8.26
201907,11,11650,2,한식,서울특별시,서초구,1,46.1
201907,11,11650,3,분식,서울특별시,서초구,5,5.73
201907,11,11650,3,일식,서울특별시,서초구,2,19.01
201907,11,11650,3,중식,서울특별시,서초구,4,11.2
201907,11,11650,3,카페/패스트푸드,서울특별시,서초구,3,14.06
201907,11,11650,3,한식,서울특별시,서초구,1,49.48
201907,11,11650,4,분식,서울특별시,서초구,5,6.25
201907,11,11650,4,일식,서울특별시,서초구,2,13.48
201907,11,11650,4,중식,서울특별시,서초구,4,7.23
201907,11,11650,4,카페/패스트푸드,서울특별시,서초구,3,8.98
201907,11,11650,4,한식,서울특별시,서초구,1,62.5
201907,11,11650,5,분식,서울특별시,서초구,5,6.78
201907,11,11650,5,일식,서울특별시,서초구,2,14.78
201907,11,11650,5,중식,서울특별시,서초구,3,10.06
201907,11,11650,5,카페/패스트푸드,서울특별시,서초구,4,7.8
201907,11,11650,5,한식,서울특별시,서초구,1,58.73
201907,11,11650,6,한식,서울특별시,서초구,1,100
201907,11,11680,1,분식,서울특별시,강남구,4,6.73
201907,11,11680,1,중식,서울특별시,강남구,5,6.28
201907,11,11680,1,카페/패스트푸드,서울특별시,강남구,2,33.64
201907,11,11680,1,편의점,서울특별시,강남구,3,8.33
201907,11,11680,1,한식,서울특별시,강남구,1,37.05
201907,11,11680,2,분식,서울특별시,강남구,4,7.32
201907,11,11680,2,중식,서울특별시,강남구,5,6.66
201907,11,11680,2,카페/패스트푸드,서울특별시,강남구,1,35.74
201907,11,11680,2,편의점,서울특별시,강남구,3,8.94
201907,11,11680,2,한식,서울특별시,강남구,2,33.03
201907,11,11680,3,분식,서울특별시,강남구,4,8.01
201907,11,11680,3,중식,서울특별시,강남구,5,6.14
201907,11,11680,3,카페/패스트푸드,서울특별시,강남구,1,36.86
201907,11,11680,3,편의점,서울특별시,강남구,3,8.2
201907,11,11680,3,한식,서울특별시,강남구,2,33.15
201907,11,11680,4,분식,서울특별시,강남구,4,7.79
201907,11,11680,4,중식,서울특별시,강남구,5,7.65
201907,11,11680,4,카페/패스트푸드,서울특별시,강남구,1,37.16
201907,11,11680,4,편의점,서울특별시,강남구,3,7.84
201907,11,11680,4,한식,서울특별시,강남구,2,32.1
201907,11,11680,5,분식,서울특별시,강남구,4,7.46
201907,11,11680,5,중식,서울특별시,강남구,5,6.7
201907,11,11680,5,카페/패스트푸드,서울특별시,강남구,1,38.36
201907,11,11680,5,편의점,서울특별시,강남구,3,8.28
201907,11,11680,5,한식,서울특별시,강남구,2,31.46
201907,11,11680,6,분식,서울특별시,강남구,5,3.13
201907,11,11680,6,중식,서울특별시,강남구,4,4.49
201907,11,11680,6,카페/패스트푸드,서울특별시,강남구,1,58.01
201907,11,11680,6,편의점,서울특별시,강남구,3,6.05
201907,11,11680,6,한식,서울특별시,강남구,2,25
201907,11,11680,7,일식,서울특별시,강남구,5,0.87
201907,11,11680,7,중식,서울특별시,강남구,4,2.17
201907,11,11680,7,카페/패스트푸드,서울특별시,강남구,1,68.7
201907,11,11680,7,편의점,서울특별시,강남구,3,7.17
201907,11,11680,7,한식,서울특별시,강남구,2,20.87
201907,11,11710,1,동남아,서울특별시,송파구,4,5.8
201907,11,11710,1,분식,서울특별시,송파구,3,7.02
201907,11,11710,1,중식,서울특별시,송파구,5,5.04
